# Files that will 'work'
# target_id cal_id # field_chan
1061674440 1061673704 # HGL_5_145
1062277584 1062276848 # HGL_5_145
1062880736 1062880000 # HGL_5_145
1063483880 1063483144 # HGL_5_145
1064690184 1064689448 # HGL_5_145
1065293328 1065292592 # HGL_5_145
1067102776 1067102040 # HGL_5_145
1068481400 1068480664 # HGL_5_145
1068912224 1068911488 # HGL_5_145
1069515368 1069514632 # HGL_5_145
1070118520 1070117784 # HGL_5_145
1091401072 1091400336 # HGL_5_145
1091918056 1091917320 # HGL_5_145
1092521208 1092520472 # HGL_5_145
1093038192 1093037456 # HGL_5_145
1093727504 1093726768 # HGL_5_145
1094330648 1094329912 # HGL_5_145
1094761472 1094760736 # HGL_5_145
1095536952 1095536216 # HGL_5_145
1096140096 1096139360 # HGL_5_145
1097346392 1097345656 # HGL_5_145
1098208032 1098207296 # HGL_5_145
1099069680 1099068944 # HGL_5_145
1099758992 1099758256 # HGL_5_145
1100275976 1100275240 # HGL_5_145
